,level_0,index,Country,Purpose,Code,Amount
0,0,0,Australia,Air transport,21050,2414954172.0
1,1,1,Australia,Industrial development,32120,8970500.0
2,2,4,Australia,Rail transport,21030,68372551.0
3,3,6,Austria,Air transport,21050,769908525.0
4,4,10,Belgium,Air transport,21050,184346233.0
5,5,34,Brazil,Air transport,21050,3456435359.0
6,6,146,Brazil,Industrial development,32120,2247906288.0
7,7,193,Brazil,Power generation/non-renewable sources,23020,1104061197.0
8,8,202,Brazil,RESCHEDULING AND REFINANCING,60040,95301312.0
9,9,204,Brazil,Rail transport,21030,462898309.0
10,10,274,Canada,Air transport,21050,4066635837.0
11,11,275,Canada,Industrial development,32120,1961661.0
12,12,295,Chile,Air transport,21050,778066701.0
13,13,402,Chile,Industrial development,32120,719537287.0
14,14,441,Chile,Power generation/non-renewable sources,23020,67384606.0
15,15,450,Chile,Rail transport,21030,205663377.0
16,16,530,Colombia,Air transport,21050,269523343.0
17,17,650,Colombia,Industrial development,32120,894660171.0
18,18,693,Colombia,Power generation/non-renewable sources,23020,1604712459.0
19,19,702,Colombia,Rail transport,21030,381709761.0
20,20,774,Cyprus,Air transport,21050,84362.0
21,21,803,Cyprus,Industrial development,32120,13976387.0
22,22,813,Cyprus,Power generation/non-renewable sources,23020,44659374.0
23,23,855,Czech Republic,Air transport,21050,519224550.0
24,24,922,Czech Republic,Industrial development,32120,167119692.0
25,25,943,Czech Republic,Power generation/non-renewable sources,23020,115127524.0
26,26,952,Czech Republic,Rail transport,21030,127170244.0
27,27,995,Denmark,Air transport,21050,83221323.0
28,28,1008,Estonia,Air transport,21050,2730390.0
29,29,1064,Estonia,Industrial development,32120,52832694.0
30,30,1080,Estonia,Power generation/non-renewable sources,23020,2579891.0
31,31,1086,Estonia,Rail transport,21030,995819.0
32,32,1132,Finland,Air transport,21050,180621823.0
33,33,1136,France,Air transport,21050,237532627.0
34,34,1138,Greece,Air transport,21050,402975319.0
35,35,1140,Greece,Industrial development,32120,7939384.0
36,36,1142,Greece,Power generation/non-renewable sources,23020,10684686.0
37,37,1157,Hungary,Air transport,21050,182987467.0
38,38,1222,Hungary,Industrial development,32120,599861909.0
39,39,1244,Hungary,Power generation/non-renewable sources,23020,36780754.0
40,40,1253,Hungary,Rail transport,21030,72743.0
41,41,1295,Iceland,Air transport,21050,18060045.0
42,42,1318,India,Air transport,21050,2617011450.0
43,43,1443,India,Industrial development,32120,7449680293.0
44,44,1489,India,Power generation/non-renewable sources,23020,8238385928.0
45,45,1500,India,Rail transport,21030,12350057219.0
46,46,1572,Ireland,Air transport,21050,793462113.0
47,47,1573,Ireland,Industrial development,32120,52303341.0
48,48,1574,Ireland,Power generation/non-renewable sources,23020,88873275.0
49,49,1575,Italy,Air transport,21050,2356747779.0
50,50,1583,Japan,Air transport,21050,2080977585.0
51,51,1597,South Korea,Air transport,21050,5260158081.0
52,52,1652,South Korea,Industrial development,32120,1478248221.0
53,53,1670,South Korea,Power generation/non-renewable sources,23020,1397886659.0
54,54,1674,South Korea,Rail transport,21030,1037622161.0
55,55,1729,Kuwait,Industrial development,32120,278059881.0
56,56,1739,Kuwait,Power generation/non-renewable sources,23020,24748632.0
57,57,1762,Latvia,Air transport,21050,1086851.0
58,58,1817,Latvia,Industrial development,32120,29807746.0
59,59,1836,Latvia,Power generation/non-renewable sources,23020,150100.0
60,60,1842,Latvia,Rail transport,21030,330198.0
61,61,1906,Lithuania,Air transport,21050,25924539.0
62,62,1964,Lithuania,Industrial development,32120,38053026.0
63,63,1987,Lithuania,Power generation/non-renewable sources,23020,4032215.0
64,64,1996,Lithuania,Rail transport,21030,252942.0
65,65,2039,Luxembourg,Air transport,21050,555039832.0
66,66,2040,New Zealand,Air transport,21050,22137111.0
67,67,2041,New Zealand,Industrial development,32120,203451199.0
68,68,2042,Norway,Air transport,21050,343290701.0
69,69,2062,Poland,Air transport,21050,819515491.0
70,70,2144,Poland,Industrial development,32120,604862942.0
71,71,2170,Poland,Power generation/non-renewable sources,23020,452114.0
72,72,2179,Poland,RESCHEDULING AND REFINANCING,60040,14702202315.0
73,73,2182,Poland,Rail transport,21030,3017562.0
74,74,2232,Portugal,Air transport,21050,130233430.0
75,75,2236,Portugal,Industrial development,32120,270172.0
76,76,2254,Qatar,Industrial development,32120,80976522.0
77,77,2259,Qatar,Power generation/non-renewable sources,23020,623401645.0
78,78,2287,Romania,Air transport,21050,269489522.0
79,79,2371,Romania,Industrial development,32120,257675803.0
80,80,2403,Romania,Power generation/non-renewable sources,23020,262466786.0
81,81,2416,Romania,Rail transport,21030,2743159.0
82,82,2483,Saudi Arabia,Air transport,21050,3423114025.0
83,83,2517,Saudi Arabia,Industrial development,32120,476595845.0
84,84,2531,Saudi Arabia,Power generation/non-renewable sources,23020,126190249.0
85,85,2536,Saudi Arabia,Rail transport,21030,386553.0
86,86,2576,Slovakia,Air transport,21050,31781.0
87,87,2633,Slovakia,Industrial development,32120,4864640.0
88,88,2652,Slovakia,Power generation/non-renewable sources,23020,961978.0
89,89,2660,Slovakia,Rail transport,21030,17509.0
90,90,2750,Slovenia,Industrial development,32120,16925890.0
91,91,2761,Slovenia,Power generation/non-renewable sources,23020,35803.0
92,92,2767,Slovenia,Rail transport,21030,1237210.0
93,93,2817,South Africa,Air transport,21050,842799607.0
94,94,2925,South Africa,Industrial development,32120,92544010.0
95,95,2966,South Africa,Power generation/non-renewable sources,23020,70358237.0
96,96,2977,South Africa,Rail transport,21030,67008192.0
97,97,3043,Spain,Air transport,21050,86329744.0
98,98,3046,Spain,Industrial development,32120,7062587.0
99,99,3048,Spain,Power generation/non-renewable sources,23020,404165959.0
100,100,3051,Sweden,Industrial development,32120,35282669.0
101,101,3057,Taiwan,Air transport,21050,1631451348.0
102,102,3083,Taiwan,Industrial development,32120,617804370.0
103,103,3097,Taiwan,Rail transport,21030,212202942.0
104,104,3135,Thailand,Air transport,21050,4028504746.0
105,105,3253,Thailand,Industrial development,32120,3297843354.0
106,106,3298,Thailand,Power generation/non-renewable sources,23020,900507369.0
107,107,3306,Thailand,Rail transport,21030,5577111137.0
108,108,3377,United Arab Emirates,Air transport,21050,522553.0
109,109,3394,United Arab Emirates,Industrial development,32120,1460185.0
110,110,3417,United Kingdom,Air transport,21050,957343964.0
